X,Y,Z
120.352562,41.0,-434.229645
-503.896149,8.0,692.602661
1079.262207,25.0,-327.169128
-860.67981,25.0,-43.844387
2077.526611,25.0,-395.166199
-1254.652954,25.0,890.625427
-792.605164,25.0,1062.989014
1469.632446,25.0,1013.365295
-456.994141,16.999998,-891.445923
-272.785309,25.0,1110.47876
22.406563,26.0,-503.586517
1488.057983,25.0,-1084.641235
-405.551666,32.0,-607.841003
459.694977,25.0,647.230896
-468.960052,25.0,635.502136
-622.737549,25.0,525.155945
1855.823608,25.0,-912.06665
-425.895935,23.0,1139.378784
-508.405701,25.0,-614.836365
-473.168152,25.0,290.427368
870.259888,25.0,1077.221191
-686.567505,25.0,-118.356895
-1383.49231,25.0,-143.793549
1595.181763,25.0,856.239502
-624.39679,25.0,-932.859924
1054.480347,8.0,289.673004
-435.993317,25.0,-648.191162
1395.515503,25.000002,-1342.428101
-1570.159424,26.0,-942.113159
-454.900055,20.0,113.676208
1506.809204,25.0,720.178711
1722.33667,25.0,-1007.89032
638.156738,14.0,-849.368652
232.100739,25.0,-882.511353
1711.522949,17.0,-584.561768
100.975456,25.0,-1083.761841
-23.886562,38.0,-140.442703
792.055542,25.000002,904.291626
292.430603,11.000001,-497.932159
676.882935,26.0,-522.745667
-584.609436,25.0,-959.199219
-729.921021,17.0,-888.244324
-734.580078,25.0,475.001099
986.364746,25.0,1033.982666
-1401.64856,25.0,-527.219604
-300.810547,25.0,-516.10907
491.548859,20.0,-127.080475
697.287842,11.0,-770.182251
-581.623413,14.0,1034.688477
172.155365,25.0,-158.46109
-1395.253296,25.0,820.763123
-750.082153,25.0,339.835327
-1279.087158,11.0,353.671936
-180.768906,17.0,-77.698029
-1259.141602,24.999998,424.688904
776.011475,11.0,-24.206696
1120.354858,25.0,1069.596924
-77.888802,25.0,-469.751404
-1305.838867,25.0,774.883057
-519.936401,14.0,689.729614
-968.948975,25.0,-258.968811
-258.028778,50.0,-68.376923
-1531.308472,26.0,-879.195923
867.94989,25.0,389.035919
-305.319153,25.0,-132.894714
320.489899,25.0,594.904175
1739.493774,17.0,-572.457031
1354.105713,25.0,13.751471
-485.04834,96.000008,-890.946899
1330.175537,25.0,-1328.13147
792.162598,10.999999,-590.536072
571.156189,20.0,-901.825562
-1252.563354,25.0,544.301086
1980.335327,8.0,-894.086304
-1058.124146,25.0,-81.687317
327.662903,25.0,56.355469
-2172.75,25.0,-1147.167358
276.99646,14.0,-1082.135254
-1201.725464,25.0,121.019783
-894.222473,25.0,-104.744026
-1114.34082,25.000002,1104.800903
-208.409637,11.0,1045.374512
730.732544,25.0,-968.880493
-235.054352,17.0,-784.81781
311.675079,25.0,735.951294
409.445801,25.0,-477.072235
411.299652,25.0,664.84668
677.208862,25.0,22.203272
42.560875,59.0,-161.694855
-1114.450684,25.0,23.731152
387.233582,13.999999,-1204.161865
-435.104218,25.0,-1035.309204
-908.502686,20.0,-543.131592
-370.485382,11.0,590.192993
60.234726,25.0,499.032654
453.040619,25.0,796.714111
1110.11853,25.0,1022.384521
311.316376,25.0,-649.364197
-429.251312,8.0,449.341766
725.645996,25.0,120.327789
1565.713623,25.0,377.428284
-1391.7146,25.0,-252.749451
