X,Y,Z
561.551636,2.0,556.598999
1732.013306,2.0,-996.665894
2156.320068,2.0,-379.786865
296.705536,2.0,478.877197
820.822144,2.0,-27.977905
248.866501,2.0,1198.034424
122.209984,2.0,359.465454
8.460901,2.0,469.809509
-1201.855469,2.0,1197.170044
1913.920898,2.0,-448.011902
1560.144897,2.0,425.426147
558.648071,2.0,824.8302
-9.515966,2.0,740.757202
2193.182373,2.0,1429.419922
2298.260986,2.0,-847.971069
2323.047607,2.0,785.131836
1520.140015,2.0,916.448242
194.275513,2.0,1105.943604
249.103729,2.0,301.777344
1195.715576,2.0,1416.85498
1366.930542,2.0,71.35437
1664.274414,2.0,973.7901
1022.398376,2.0,182.879883
2022.810913,2.0,440.925537
1798.145264,2.0,1399.066162
1943.484863,2.0,1231.079834
307.041351,2.0,1020.279663
-572.920288,2.0,831.612244
1255.705078,2.0,504.664795
1064.455444,2.0,205.062866
-146.563354,2.0,889.581238
1411.841675,2.0,1229.77063
-617.236206,2.0,1170.897583
-162.569794,2.0,369.653931
-372.058838,2.0,1249.764404
1468.367554,2.0,-401.64325
2156.111328,2.0,1201.373413
1240.99353,2.0,412.037537
-1059.087036,2.0,1016.435608
-115.997292,2.0,1475.452271
2308.686523,2.0,1483.047974
-1061.650635,2.0,1253.768799
1576.495972,2.0,-380.775513
1374.859253,2.0,-5.828491
513.196899,2.0,617.163696
-162.215698,2.0,1277.175903
1893.356445,2.0,237.57666
1981.742554,2.0,-811.075928
2045.289307,2.0,164.154846
1985.547974,2.0,340.813721
-419.684601,2.0,1414.647705
546.747864,2.0,1473.156982
929.792603,2.0,1277.464478
-1154.965942,2.0,1312.329102
2097.727783,2.0,-38.386536
1800.578979,2.0,-1099.594238
-729.980286,2.0,1104.914795
959.25293,2.0,3.143799
-915.526794,2.0,976.697937
1208.075317,2.0,813.328003
1173.171509,2.0,40.750305
587.521606,2.0,1405.960938
-475.893311,2.0,945.113892
2087.523682,2.0,-883.909546
2328.621826,2.0,-1053.403809
1359.151001,2.0,-416.947449
455.127777,2.0,546.113342
938.502197,2.0,1331.987793
1273.944336,2.0,-269.961304
52.884178,2.0,137.748474
688.296814,2.0,610.118164
1971.964478,2.0,1010.047241
1640.196167,2.0,919.279175
1343.671143,2.0,-284.888855
1131.536255,2.0,1344.47168
2125.797363,2.0,-1008.929626
1799.65686,2.0,288.896118
-242.562836,2.0,598.230347
284.207855,2.0,-21.389893
223.96315,2.0,1457.520386
-677.559326,2.0,950.273682
1615.631226,2.0,1170.867065
2293.193359,2.0,1258.945068
336.131439,2.0,384.140991
2381.870605,2.0,1208.181396
-1784.447998,2.0,1430.566528
1854.401001,2.0,1090.80188
1236.437134,2.0,1486.908447
2297.857422,2.0,770.029175
-1195.786133,2.0,1334.591919
1165.437134,2.0,812.726318
-1613.022949,2.0,1377.790039
1234.217407,2.0,445.759766
204.92514,2.0,439.038513
-610.432922,2.0,1224.828125
1720.253784,2.0,1465.703247
-905.932983,2.0,952.566162
575.520203,2.0,1472.716797
617.975708,2.0,931.636719
1107.804932,2.0,-571.15979
270.865326,2.0,-49.119568
1739.586792,2.0,-865.277466
575.8125,2.0,805.553833
-104.480873,2.0,498.174591
1049.103394,2.0,418.623535
1166.194092,2.0,17.318787
1356.568726,2.0,953.802612
1629.792114,2.0,-900.229492
2212.205811,2.0,-1272.982422
-773.092102,2.0,741.842285
2242.680664,2.0,306.964478
609.450928,2.0,765.301147
553.654175,2.0,1041.000366
1380.538086,2.0,-534.070374
1777.713501,2.0,410.877625
155.570892,2.0,589.343689
2015.658325,2.0,330.255615
2045.248169,2.0,1155.50293
-174.498505,2.0,1067.758057
909.695984,2.0,-55.068298
1870.153076,2.0,990.236084
1035.175537,2.0,1172.480225
2149.003662,2.0,692.265564
1704.081421,2.0,206.261658
1756.395752,2.0,-9.14856
2200.772461,2.0,684.630615
2355.584473,2.0,-562.86676
1630.825562,2.0,-613.237732
1787.564331,2.0,-468.950989
1031.068359,2.0,268.408813
-289.264069,2.0,667.680969
1279.731323,2.0,1061.747559
1900.983521,2.0,203.000427
1496.709595,2.0,1138.432739
1811.647339,2.0,1313.743774
1655.607056,2.0,697.138062
75.563988,2.0,689.657715
1194.508057,2.0,959.512451
-320.722565,2.0,546.7948
-521.645142,2.0,541.166321
16.542048,2.0,1386.691772
-1660.628296,2.0,1399.937378
710.178528,2.0,-117.491333
2210.212402,2.0,-385.874756
-348.910309,2.0,739.548645
1809.040039,2.0,-1113.711426
-173.675446,2.0,902.501343
-746.192993,2.0,1232.946289
1376.48645,2.0,1206.014282
-1032.863403,2.0,1378.933228
-231.364471,2.0,616.078857
-183.082306,2.0,1119.91626
1927.364258,2.0,86.320007
2047.765015,2.0,-910.833008
1233.207153,2.0,1091.632324
-497.058441,2.0,811.191406
2334.713867,2.0,-281.179871
-32.417961,2.0,1279.450806
1672.888184,2.0,-394.18988
1565.889526,2.0,-439.550659
-912.171997,2.0,895.42218
532.403564,2.0,1097.981323
2119.751953,2.0,-85.638611
320.318359,2.0,543.025024
661.422363,2.0,1021.187927
2140.03418,2.0,909.06543
2209.012695,2.0,-813.008179
1615.284058,2.0,735.196411
-235.781342,2.0,494.778015
1889.06604,2.0,638.628296
610.912537,2.0,634.41925
-423.236481,2.0,985.86438
1160.392212,2.0,1290.849731
1924.556152,2.0,-719.375366
684.611816,2.0,736.795044
-447.004761,2.0,851.492432
1407.599365,2.0,-543.760376
2173.045654,2.0,-1061.186768
1407.696167,2.0,960.80072
2244.775635,2.0,-365.782227
21.416986,2.0,1395.625977
1655.917847,2.0,1160.94873
2229.045654,2.0,1086.411377
2286.010742,2.0,-1035.447388
-275.426697,2.0,1282.360229
12.094004,2.0,1169.770508
1480.513306,2.0,810.019043
96.876305,2.0,1146.756592
679.083374,2.0,1444.614136
207.061676,2.0,120.326904
2063.063965,2.0,354.634827
2296.606445,2.0,715.202393
-1328.5177,2.0,1433.014282
1362.350098,2.0,315.923218
1773.108521,2.0,824.849731
-402.60257,2.0,637.692322
700.489746,2.0,212.919189
126.400658,2.0,978.344421
-34.893837,2.0,315.034851
1818.248901,2.0,759.862671
2302.513916,2.0,-176.649353
1966.380859,2.0,-1242.331543
-345.291473,2.0,1308.771118
718.824646,2.0,1276.560059
-447.241241,2.0,1311.270386
1265.846191,2.0,-23.135742
517.136475,2.0,1141.416504
1768.380859,2.0,503.499847
-1110.054932,2.0,1466.270874
1194.946899,2.0,249.278015
2179.870117,2.0,-476.430603
408.069916,2.0,1483.661865
-80.606361,2.0,723.316772
-1014.847961,2.0,1268.810425
1657.431274,2.0,1471.935425
884.407349,2.0,596.36731
-341.943512,2.0,749.705383
2045.544434,2.0,-822.875977
335.63092,2.0,1140.587769
261.649017,2.0,291.242615
-870.533447,2.0,896.213623
1256.031494,2.0,1454.158691
-346.151764,2.0,435.177795
-1056.82019,2.0,1456.012695
1732.285522,2.0,-664.364563
1663.944946,2.0,-340.758362
1534.914917,2.0,561.61853
659.473328,2.0,768.620972
2171.093506,2.0,1191.773926
-646.826904,2.0,1048.58313
-1205.799194,2.0,1488.69751
2344.287598,2.0,-430.310791
1207.816772,2.0,94.400513
2144.989746,2.0,-875.215698
801.841797,2.0,895.407227
1819.609253,2.0,-1.929626
1445.526978,2.0,487.360046
1619.002441,2.0,213.692383
2076.825439,2.0,263.652527
2063.32373,2.0,-770.473999
1432.034058,2.0,-434.334656
1756.307739,2.0,-561.056519
2339.970947,2.0,-284.326416
196.559479,2.0,539.299194
272.346191,2.0,1269.263672
1593.633179,2.0,109.351135
-1243.381836,2.0,1240.933105
601.332458,2.0,152.367798
1259.067383,2.0,-751.056274
2349.832031,2.0,1062.310913
-1245.776611,2.0,1208.546875
-189.951279,2.0,1321.803955
858.190735,2.0,-251.563477
305.541626,2.0,536.768311
1996.304077,2.0,160.299805
1440.265869,2.0,1305.754028
2070.343994,2.0,695.044739
1703.8927,2.0,-447.540649
1918.716431,2.0,-638.78302
1010.731201,2.0,319.711365
2141.790039,2.0,-326.666138
1001.286133,2.0,-148.043823
885.323425,2.0,1063.718872
895.236389,2.0,325.767639
-138.362457,2.0,1037.965576
-437.798187,2.0,1420.819458
2260.227539,2.0,1423.847168
-1138.614624,2.0,1405.192139
198.210968,2.0,119.993103
2208.562744,2.0,-502.942261
165.145844,2.0,247.436646
-278.473328,2.0,1265.963745
2227.845947,2.0,-992.274719
1374.800537,2.0,1317.397949
1577.675781,2.0,-734.171204
2040.729614,2.0,359.857117
673.484619,2.0,783.38269
940.591553,2.0,327.166382
2008.043335,2.0,-907.946533
-828.671387,2.0,843.865234
-52.734291,2.0,522.185425
1408.259888,2.0,-75.677002
2185.787842,2.0,-1294.141479
1942.377319,2.0,331.056946
1902.142456,2.0,949.964661
942.063293,2.0,-465.275513
2335.209961,2.0,5.158142
1814.28064,2.0,476.823914
1481.686646,2.0,1351.969727
2006.548706,2.0,-1108.695312
-397.598877,2.0,1324.748291
1747.600952,2.0,-594.195312
497.757294,2.0,612.391113
1542.062866,2.0,699.441772
1760.666992,2.0,-1006.427856
53.574821,2.0,883.621826
651.621765,2.0,-261.029724
437.986176,2.0,-54.602905
835.879028,2.0,1450.562744
379.451324,2.0,-65.256409
1520.988159,2.0,389.734619
1925.811523,2.0,-657.39447
536.587524,2.0,1334.52356
1016.332764,2.0,-510.431213
-373.67453,2.0,484.804626
2072.467285,2.0,-452.237549
1576.449341,2.0,-393.493347
374.470734,2.0,517.138916
2345.756836,2.0,-790.213806
1491.512695,2.0,181.05481
1204.675171,2.0,116.003906
-1609.057983,2.0,1355.95166
742.97583,2.0,351.102417
44.872154,2.0,1098.217285
1689.676636,2.0,-410.375977
1361.495117,2.0,1451.319092
-1228.050415,2.0,1127.303589
2067.93457,2.0,385.469238
2188.062988,2.0,-522.371704
1144.830444,2.0,-429.512756
1190.162964,2.0,-161.489014
2354.299072,2.0,663.160522
1680.858765,2.0,-41.529602
2240.587158,2.0,-420.127686
662.197388,2.0,545.826721
2326.33252,2.0,-850.664062
-1833.18042,2.0,1454.531006
165.957489,2.0,1466.786255
2378.83374,2.0,-466.945984
1788.132935,2.0,-116.013489
531.478149,2.0,746.718323
74.560081,2.0,452.225159
1634.164062,2.0,456.928162
1553.424438,2.0,-372.294617
2167.030762,2.0,1415.626709
2284.829102,2.0,-73.337891
811.129333,2.0,1337.312988
-1051.965088,2.0,1086.586792
1889.225952,2.0,203.411133
2345.700195,2.0,-1281.668213
-266.699799,2.0,716.266541
2027.929077,2.0,192.067322
2352.789795,2.0,-1443.388184
150.7388,2.0,741.367676
2147.217041,2.0,-340.550232
2233.852539,2.0,-163.378052
2025.389282,2.0,570.105103
577.641541,2.0,-201.074463
483.59375,2.0,1071.114502
1892.832886,2.0,-423.054199
171.614838,2.0,794.55603
1728.022339,2.0,-157.089111
1736.910034,2.0,669.59314
1187.252808,2.0,227.427063
1934.036255,2.0,-549.272827
2062.807617,2.0,-383.267822
1861.515503,2.0,-422.140747
958.279602,2.0,632.928589
213.904694,2.0,831.907532
-108.337837,2.0,978.090576
1627.518433,2.0,-926.762573
