X,Y,Z
-1882.67688,22.989388,-158.10614
-1675.086426,25.0,-1338.628662
1458.194702,25.0,1412.862061
125.553604,25.0,-1526.165527
-1479.976807,25.0,980.245544
-1671.358521,25.0,399.55957
1776.547974,25.0,1237.332031
-1654.058594,25.0,994.278381
-781.034668,21.853962,222.448914
-1127.412354,23.074236,-459.077728
-101.403267,25.0,649.185852
-1166.611938,25.0,-1225.359497
219.096802,23.080133,-221.750061
311.6409,25.0,-1254.573364
742.184448,25.0,555.971985
-492.984406,23.440966,1401.013916
-654.290527,20.392302,1319.043701
-1161.276733,25.000002,356.624756
-490.545441,23.152624,758.239441
541.632385,22.951508,1366.492432
-1484.684692,25.0,1424.345337
377.079803,25.0,867.408264
1157.244019,25.0,1399.286133
-1498.67981,22.864191,-749.127808
-1613.761963,25.0,-1377.314209
394.207703,25.0,418.618347
-1249.316528,25.0,486.951843
-338.9953,25.0,-52.520576
-1457.436646,25.0,-384.728027
-1137.358398,25.0,-1127.599976
997.421814,24.453339,1092.923584
-515.587463,25.0,-37.983646
-1581.322021,25.0,-1374.039062
-490.726532,22.719997,-724.340759
-1484.929688,20.664402,1425.427002
1002.698853,25.0,1467.24231
2313.019287,21.619974,-1351.395508
-1815.876099,25.0,-797.940308
853.167236,21.459949,1441.652588
-436.902496,25.0,378.860352
-1720.016479,23.041523,-1005.435486
-1901.103882,25.0,75.74807
881.466736,23.111076,1297.62207
-208.888184,25.0,-1368.435181
1033.816528,24.999998,1389.540771
1024.966309,24.999998,1470.710571
640.371155,25.0,-1077.682007
-1540.68396,25.0,-596.245728
-218.523987,25.0,-1364.494629
664.438904,25.0,-1666.98645
231.393524,24.999998,612.892822
-492.413971,21.333652,-1477.299316
804.004517,25.0,-1288.758789
-349.415558,25.0,-151.712372
965.459534,23.047697,-1379.57666
-4.587462,25.0,881.300903
-1553.023804,24.999998,429.830444
-1646.932251,22.187424,-929.838623
-1273.087524,20.470659,-1104.754028
-391.211151,25.000002,292.270386
965.733276,22.889225,-1420.450928
-590.81543,25.0,-1481.01709
1094.757446,25.0,170.803925
245.029312,25.0,692.811646
632.205444,25.0,1086.55249
-761.505188,21.378164,-395.378296
535.719849,25.0,1013.857727
674.860107,25.0,-1779.663574
-1487.77771,21.712168,1082.229248
-1616.561523,22.932518,-221.690948
709.642273,25.0,-206.720581
-1440.699707,24.906132,-1268.676392
400.605255,25.0,-1160.854248
603.457153,22.241295,1315.557129
-1824.548096,25.0,-1279.142944
-1760.752808,20.892654,-391.37616
-1500.134033,25.0,1450.479004
1092.519897,25.0,1160.563965
1737.69397,25.0,1332.911865
391.094818,20.854336,316.343842
393.549896,21.919298,244.833466
-1452.210083,25.0,-380.29599
670.594849,22.876755,1176.318481
622.78656,22.494316,901.980591
-151.301117,24.90513,-943.460083
815.475525,21.499193,1435.208618
386.14032,22.982138,995.054077
-637.684509,23.541199,502.521759
-1505.917358,21.789108,-985.378662
222.256699,25.0,-1271.365479
-203.815994,20.978167,221.535355
324.903412,25.000002,1487.2323
-576.877136,25.000002,523.024963
-416.786072,25.0,-53.145847
-915.093323,25.0,-794.996948
362.47934,25.0,-1046.715088
-1711.105957,25.0,-1343.566162
1223.449707,21.95155,-185.293564
-92.751633,21.710545,-1352.813599
-963.031738,25.0,835.845337
-80.715721,24.63648,-1474.256592
1178.902222,25.0,-191.845062
-1789.72168,25.0,-1181.623779
918.419617,25.0,-1527.429932
834.229797,24.183977,552.668335
587.339294,25.0,1312.272095
-1665.543091,25.0,462.985535
-1186.432983,25.0,451.120148
-1621.909668,21.412056,-1320.763062
720.566772,25.0,-1149.85376
721.146118,25.0,-1721.182129
1525.153198,22.764669,302.659485
-1786.964478,25.0,-1384.769775
-536.480713,24.999998,-1046.231812
-554.987305,25.0,-1470.256348
-16.503841,25.0,1106.562622
468.389801,25.000002,-1352.379761
780.31012,25.0,-1213.110107
-498.310822,22.865778,-1575.946045
-1736.996704,22.834555,-1538.981445
488.760773,25.0,1368.996826
-443.471802,25.0,-825.001587
-85.996628,20.827238,467.760803
-1546.131958,21.850544,-527.076721
-577.573669,25.0,-1128.194336
-226.251572,25.0,-1059.878174
-472.12912,25.0,-534.458862
1413.515747,21.77354,237.697235
209.400406,22.984636,1125.160156
-1525.684814,25.0,-1345.164551
-611.686829,25.0,706.044983
