X,Y,Z
459.804535,2.0,438.293304
1630.266235,2.0,-804.318726
2054.572754,2.0,-310.81543
194.958344,2.0,376.115875
719.075012,2.0,-29.368164
147.119415,2.0,951.44165
20.462793,2.0,280.586487
-93.286232,2.0,368.861725
-1303.602783,2.0,950.750183
1812.173828,2.0,-365.395416
1458.397827,2.0,333.354919
456.90097,2.0,652.878296
-111.263161,2.0,585.619873
2091.435303,2.0,1136.549927
2196.513916,2.0,-685.362793
2221.300537,2.0,621.119507
1418.392944,2.0,726.172668
92.528404,2.0,877.768982
147.356598,2.0,234.436005
1093.968384,2.0,1126.498169
1265.183472,2.0,50.097656
1562.527222,2.0,772.046082
920.651245,2.0,139.317993
1921.063965,2.0,345.754517
1696.398315,2.0,1112.26709
1841.737671,2.0,977.878052
205.29422,2.0,809.237854
-674.66748,2.0,658.303955
1153.957886,2.0,396.745972
962.708435,2.0,157.064392
-248.310516,2.0,704.679138
1310.094604,2.0,976.830688
-718.983398,2.0,929.732178
-264.316986,2.0,288.737305
-473.805878,2.0,992.825562
1366.620483,2.0,-328.300537
2054.364258,2.0,954.112915
1139.24646,2.0,322.644073
-1160.834229,2.0,806.162598
-217.744385,2.0,1173.375977
2206.939697,2.0,1179.452393
-1163.397827,2.0,996.029053
1474.749023,2.0,-311.606323
1273.112061,2.0,-11.648682
411.449799,2.0,486.745056
-263.96283,2.0,1014.754761
1791.609375,2.0,183.075378
1879.995361,2.0,-655.846619
1943.542114,2.0,124.338013
1883.800781,2.0,265.66507
-521.431702,2.0,1124.732178
445.000671,2.0,1171.539795
828.045471,2.0,1014.985718
-1256.713013,2.0,1042.877563
1995.980591,2.0,-37.695129
1698.832031,2.0,-886.661194
-831.7276,2.0,876.945862
857.505798,2.0,-4.470825
-1017.273926,2.0,774.372437
1106.328247,2.0,643.676514
1071.424438,2.0,25.614319
485.774506,2.0,1117.782837
-577.640503,2.0,749.105286
1985.776611,2.0,-714.113525
2226.874756,2.0,-849.708923
1257.403931,2.0,-340.543884
353.380646,2.0,429.904785
836.755005,2.0,1058.60437
1172.197266,2.0,-222.954956
-48.863014,2.0,103.212891
586.549744,2.0,481.108704
1870.217407,2.0,801.051941
1538.448975,2.0,728.437439
1241.92395,2.0,-234.896973
1029.789185,2.0,1068.591431
2024.050171,2.0,-814.129517
1697.90979,2.0,224.130951
-344.310089,2.0,471.598358
182.460724,2.0,-24.097778
122.216057,2.0,1159.030396
-779.306396,2.0,753.233032
1513.884033,2.0,929.707703
2191.446289,2.0,1000.170288
234.384308,2.0,300.326843
2280.123779,2.0,959.559204
-1886.19519,2.0,1137.467407
1752.653931,2.0,865.655518
1134.690063,2.0,1182.540894
2196.110352,2.0,609.037476
-1297.533325,2.0,1060.687622
1063.689941,2.0,643.195068
-1714.770142,2.0,1095.246094
1132.470337,2.0,349.621887
103.178062,2.0,344.244934
-712.180115,2.0,972.876587
1618.506714,2.0,1165.57666
-1007.680054,2.0,755.067017
473.773254,2.0,1171.1875
516.228516,2.0,738.323547
1006.057739,2.0,-463.913666
169.118256,2.0,-46.281555
1637.8396,2.0,-699.207886
474.065338,2.0,637.457214
-206.228119,2.0,391.553802
947.356323,2.0,327.912903
1064.446899,2.0,6.869202
1254.821533,2.0,756.056152
1528.045044,2.0,-727.169434
2110.45874,2.0,-1025.371948
-874.839355,2.0,586.487915
2140.933594,2.0,238.585693
507.703766,2.0,605.255127
451.907013,2.0,825.814392
1278.790894,2.0,-434.242188
1675.966431,2.0,321.716156
53.823753,2.0,464.489075
1913.911255,2.0,257.218628
1943.501099,2.0,917.416382
-276.245544,2.0,847.220581
807.948853,2.0,-51.040588
1768.405884,2.0,785.203003
933.428467,2.0,930.998291
2047.256592,2.0,546.826477
1602.334351,2.0,158.023438
1654.648682,2.0,-14.30481
2099.025635,2.0,540.718628
2253.837646,2.0,-457.279358
1529.078491,2.0,-497.57608
1685.817139,2.0,-382.146667
929.321228,2.0,207.74118
-391.011139,2.0,527.158875
1177.984253,2.0,842.412231
1799.236328,2.0,155.414429
1394.962402,2.0,903.760376
1709.900269,2.0,1044.009033
1553.859985,2.0,550.724609
-26.183142,2.0,544.740234
1092.760864,2.0,760.624146
-422.469757,2.0,430.450012
-623.392273,2.0,425.947174
-85.205025,2.0,1102.367432
-1762.375488,2.0,1112.963989
608.431396,2.0,-100.979004
2108.465332,2.0,-315.685699
-450.65744,2.0,584.653076
1707.293091,2.0,-897.955078
-275.422516,2.0,715.015137
-847.940125,2.0,979.371216
1274.739258,2.0,957.825378
-1134.610474,2.0,1096.160645
-333.111664,2.0,485.877106
-284.829407,2.0,888.947144
1825.617188,2.0,62.070129
1946.017822,2.0,-735.652344
1131.460083,2.0,866.319946
-598.805542,2.0,641.967224
2232.966553,2.0,-231.929779
-134.16507,2.0,1016.574829
1571.141235,2.0,-322.337769
1464.142456,2.0,-358.626434
-1013.919128,2.0,709.351929
430.656494,2.0,871.39917
2018.004761,2.0,-75.496826
218.57132,2.0,427.434082
559.675171,2.0,809.964478
2038.286987,2.0,720.266479
2107.265625,2.0,-657.392456
1513.536987,2.0,581.171204
-337.528534,2.0,388.836487
1787.31897,2.0,503.916748
509.165436,2.0,500.5495
-524.983643,2.0,781.705566
1058.645142,2.0,1025.69397
1822.80896,2.0,-582.486267
582.864685,2.0,582.450073
-548.751892,2.0,674.208008
1305.852173,2.0,-441.994202
2071.298584,2.0,-855.935303
1305.949097,2.0,761.654663
2143.028809,2.0,-299.611725
-80.330132,2.0,1109.514893
1554.170654,2.0,921.773071
2127.298584,2.0,862.14325
2184.263672,2.0,-835.343872
-377.173859,2.0,1018.902222
-89.653038,2.0,928.830566
1378.766357,2.0,641.029297
-4.870825,2.0,910.419312
577.336243,2.0,1148.705322
105.314476,2.0,89.275635
1961.316772,2.0,276.721954
2194.859375,2.0,565.176147
-1430.264771,2.0,1139.425537
1260.602905,2.0,245.752686
1671.36145,2.0,652.893921
-504.349823,2.0,503.167938
598.742676,2.0,163.349487
24.653498,2.0,775.689758
-136.641022,2.0,245.041931
1716.501953,2.0,600.904175
2200.766846,2.0,-148.305359
1864.633789,2.0,-1000.851074
-447.038544,2.0,1040.031006
617.077454,2.0,1014.262146
-548.988525,2.0,1042.030396
1164.098999,2.0,-25.494507
415.389374,2.0,906.147278
1666.633911,2.0,395.813965
-1211.802002,2.0,1166.03064
1093.199829,2.0,192.436462
2078.122803,2.0,-388.130371
306.322815,2.0,1179.943604
-182.353546,2.0,571.66748
-1116.595093,2.0,1008.062561
1555.684204,2.0,1170.5625
782.660278,2.0,470.107849
-443.690582,2.0,592.778442
1943.797363,2.0,-665.286621
233.88382,2.0,905.484436
159.901947,2.0,226.008209
-972.280762,2.0,709.984924
1154.284546,2.0,1156.340942
-447.898895,2.0,341.156372
-1158.567383,2.0,1157.824341
1630.538574,2.0,-538.477539
1562.197754,2.0,-279.592529
1433.167847,2.0,442.308929
557.726196,2.0,607.910889
2069.346436,2.0,946.433228
-748.573975,2.0,831.880615
-1307.546387,2.0,1183.972168
2242.540527,2.0,-351.234528
1106.06958,2.0,68.534607
2043.242554,2.0,-707.158447
700.094727,2.0,709.339905
1717.862183,2.0,-8.529541
1343.780029,2.0,382.902222
1517.255371,2.0,163.967957
1975.078369,2.0,203.936157
1961.576538,2.0,-623.365234
1330.287109,2.0,-354.453613
1654.560669,2.0,-455.831116
2238.224121,2.0,-234.447021
94.81234,2.0,424.453552
170.599121,2.0,1008.425171
1491.88623,2.0,80.494995
-1345.128906,2.0,985.760498
499.585327,2.0,114.908325
1157.320312,2.0,-607.830933
2248.084717,2.0,842.862915
