X,Y,Z
-1619.48584,25.0,-1250.727539
2124.1875,25.0,-536.23468
-205.986206,25.0,-141.137024
665.32074,11.0,738.340698
2155.364014,11.0,48.555183
-500.210663,25.0,-98.716492
-456.60141,8.0,-362.394653
1791.917603,11.0,191.493652
735.749268,11.0,822.361084
-2038.524536,25.0,351.71344
-658.812561,20.0,-1007.969604
865.149902,23.000002,-43.237396
-1460.739258,25.0,-475.1492
-238.735718,11.0,65.345459
-401.834503,11.0,75.52536
279.932556,14.0,917.369324
2141.75415,11.0,25.404251
-1079.49231,29.0,-626.246155
1385.820068,11.0,777.880371
-1092.497803,25.0,-978.25293
106.556854,14.0,832.568359
1582.165039,17.0,-927.002686
-16.718941,11.0,666.484192
-422.225464,11.0,-379.322144
218.333557,25.0,-1136.18689
-1496.236816,25.0,-1105.683105
-1203.549927,25.0,-1043.709961
697.358032,11.0,1046.629395
-1511.794678,25.0,-410.143372
-132.051788,17.0,-929.158691
2252.974609,25.0,1190.008423
-1564.469849,25.000002,-336.955017
-1674.096436,25.0,863.167236
-1199.256226,32.0,-579.201721
648.480469,14.0,168.829102
623.030029,11.0,953.419617
-906.550171,14.0,-397.309509
37.520424,17.0,-1140.879395
1613.454346,11.0,-651.071045
368.162354,11.0,1180.336914
923.146973,25.0,1033.817627
2226.3479,25.0,-419.003448
2315.365723,25.0,-623.264221
-1274.113647,25.0,1018.155762
1273.698242,17.0,-757.449036
379.543762,17.0,340.34726
1004.115234,11.0,708.863892
1221.780151,25.0,1142.056396
253.084991,25.0,-762.0448
-446.897827,25.0,-364.892395
-658.017212,11.0,-393.436432
-1702.815063,14.0,-1163.188477
1293.097534,17.0,-768.702271
-53.044346,11.0,68.159195
-76.635071,11.0,299.38147
-1024.363403,14.000001,35.534256
79.170532,14.0,968.756592
-1401.241455,12.0,1277.333252
1209.855713,14.0,528.157288
-807.133484,14.0,-260.045044
-584.686462,11.0,-456.166199
1531.726807,11.0,584.490173
-1688.003052,25.0,69.2854
-1304.195923,25.0,-105.786911
1933.533325,10.999999,242.527527
691.765076,20.0,69.690796
653.420044,8.0,-74.800735
560.636108,14.0,324.878906
1320.184814,25.0,-310.637451
-596.722351,14.0,687.541138
1177.839111,11.0,849.203979
-714.132324,14.0,-282.130615
-2093.711426,25.0,377.512451
303.402435,17.0,-900.112671
-220.861603,11.0,-19.857025
-1686.546631,25.0,-1010.072571
1205.723022,23.0,350.58374
-320.058746,11.0,-623.849182
-952.282715,14.0,-1007.207031
-2121.90332,25.0,413.652649
822.969482,8.0,53.94754
2134.528809,10.999999,986.52356
2035.958984,10.999999,480.564545
-592.744629,11.0,-624.279114
-318.482697,14.0,-542.16748
-697.279541,11.0,325.291595
2167.019043,11.0,-1152.030396
1115.912109,11.0,1020.273254
-1159.735474,26.0,1139.157715
1968.65332,11.0,-1203.061401
858.088379,14.0,666.076416
979.543396,25.0,-1003.266785
460.731659,17.0,-812.679565
1367.133423,23.0,477.556335
484.090118,11.0,847.867004
721.721252,14.0,-26.283215
503.093079,11.0,756.86499
853.748901,14.0,-732.065552
1077.862061,17.0,-1222.963013
-281.512421,11.0,-816.558472
1733.638062,11.0,389.522949
-166.98407,14.0,-555.218079
2078.40625,11.0,440.27948
-865.018677,11.0,166.27533
-164.056335,11.0,611.125244
-167.366028,14.0,537.390381
-1621.168335,25.0,639.091919
2201.041748,25.0,-577.656738
385.676117,10.999999,923.914307
743.6521,25.0,-1235.903564
329.417572,11.000001,974.590088
-186.624069,14.0,723.884521
-352.538605,14.0,-590.205078
502.751465,25.0,-584.011963
243.736115,17.0,163.209778
-124.263344,14.0,578.787537
-92.372932,17.0,-1034.813965
1925.794067,25.0,433.169128
202.5047,17.0,185.279083
-1657.424683,25.0,-570.740112
-602.486755,14.0,118.790741
1474.053101,11.0,559.065979
-1468.619141,12.0,1271.568359
-1975.374146,62.0,-314.033417
-1167.530151,32.0,-509.502289
1151.928833,14.0,434.802551
-62.641788,11.0,585.238892
-1569.165405,25.0,-892.567871
-1763.520142,25.0,179.846466
-1930.731323,8.0,1068.910156
-1552.413696,25.0,-324.467407
-407.792786,11.0,-353.530518
-389.844971,11.0,-174.712738
309.068665,17.0,233.105499
649.363831,11.0,1049.809082
-1133.3927,11.0,-1173.467773
2072.410156,11.0,603.363281
2263.382568,25.0,1184.910156
-1891.401489,8.0,1156.740234
-1842.505493,17.0,-1164.837769
-461.1026,14.0,298.121918
1038.704346,20.0,-620.990967
-691.533325,11.0,453.217834
-1285.572021,25.0,-1033.921143
-544.446716,13.999999,522.605713
1006.69458,17.0,-752.315674
2070.667725,10.999999,-299.058624
1201.814575,8.0,793.151611
-1001.433228,14.0,-144.987854
401.654358,17.0,677.342163
-665.842468,14.0,-276.717468
-379.420441,25.0,-1122.385864
-1316.091431,25.0,-821.741943
-1904.185791,62.0,-365.498352
2132.110596,25.0,508.628296
1016.840942,25.0,499.101562
1322.260376,25.0,-310.400452
-1778.070801,17.0,-1012.90802
-405.019684,14.0,655.446289
710.883789,13.999999,-44.180748
-194.965775,25.0,578.327576
-623.134155,14.0,45.96484
-1735.314453,25.0,-592.68335
256.643829,17.0,-795.587097
-1542.03064,25.0,-741.553833
312.417572,11.0,801.373047
21.564814,25.000002,-173.868668
-622.460938,25.0,1034.106812
842.787537,25.0,655.860352
-1398.713501,25.0,-354.170044
-528.431519,25.0,1122.639648
-2014.898804,25.0,920.992615
-763.543213,14.0,-1127.413086
-1697.462524,25.0,614.90741
1075.269897,11.0,1190.471069
-727.31543,14.000001,66.416077
1114.149536,25.0,452.074219
1228.661255,25.0,957.338562
1316.561523,11.0,741.554321
-1080.876099,25.0,983.61554
-187.502441,25.0,-579.893005
-957.96991,14.0,-388.31723
-936.792236,14.0,-183.24118
2110.620361,11.0,50.168457
-241.388855,14.0,768.744507
-25.982286,14.0,-971.295654
2036.42395,10.999999,572.390076
-1675.674194,22.0,-668.232056
1830.22876,11.000001,-1235.640869
1936.459595,25.0,925.485413
1379.360107,11.0,-268.709412
232.094788,14.0,-1108.369507
81.675278,17.0,468.045624
147.767334,11.0,1140.75354
-862.337585,14.0,-82.897522
-385.552185,11.0,-147.510773
-633.36554,20.0,-929.755859
-950.024658,14.0,-1010.451721
-1598.872681,25.0,-732.988281
2045.481567,25.0,840.403748
1123.097168,11.000001,-606.267212
-1449.727173,25.0,682.623169
-105.169334,14.0,628.074829
431.459198,25.0,-826.352356
1469.516113,14.0,-328.673981
